items.id,items.label,items.authors,items.journal,items.country,items.year,items.date,items.month,items.url
10607,Fusion Cross Sections for   12C + 15N System,"R. Novotny, D. Shapira, Y.D. Chan, D. E.  DiGregorio,  J.L.C. Ford, J. Gomez del Campo, M.E. Ortiz and F. Peugheon",Physical Review C,Estados Unidos de América,1982,1982,1982,NA
10605,Compression   Effects   in   Relativistic   Nucleus   Nucleus Collisions,"R. Stock, R. Bock, R. Brockmann, A. Dacal,  J.W.  Harris,  M.  Maier, M.E. Ortiz, H. G. Pugh, R.E. Renfordt, A. Sandoval,  L.S. Schroeder, H. Stroebele and K.L. Wolf",Physical Review Letters,Estados Unidos de América,1982,1982,1982,
10604,Abnormal occupation in boson matter.,"V.C. Aguilera-Navarro, R. Barrera, M. de Llano, J.W. Clark y A. Plastino",Physical Review C,Estados Unidos de América,1982,1982,1982,NA
10601,10B+17O Fusion Cross Section,"Y.D. Chan, D. Digregorio, J.L.C. Ford, J. Gomez del Campo, M.E. Ortiz and D. Shapira",Physical Review C,Estados Unidos de América,1982,1982,1982,NA
10615,Incomplete momentum transfer components in 16O+12C fusion at 20 MeV/A,"A. Menchaca-Rocha, M.E. Brandan, A. Dacal, A. Galindo, J. Mahoney, M. Murphy and W.D.M. Rae",Physics Letters B,Estados Unidos de América,1983,1983,1983,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-49049124319&partnerID=40, 0"
10616,Measurement of reactions induced by 30 MeV/A 12C,"A. Menchaca-Rocha, M.E. Brandan, M. Buenerd,J. Chauvin D. Lebrun, P. Martin, P. de Saintignon, J.C. Gondrand, I. Dorion, and A. Lounis",Physics Letters B,Estados Unidos de América,1983,1983,1983,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-25344436120&partnerID=40, 1"
10620,Target dependence of 16O-induced reactions at 20 MeV/A,"A. Menchaca-Rocha, M.E. Brandan, R. Legrain, A. Dacal, and A. Galindo",Journal of Physics G-Nuclear and Particle Physics,Estados Unidos de América,1983,1983,1983,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-36149037862&partnerID=40, 0"
10618,Streamer Chamber Experiments,"A. Sandoval, R. Bock, R. Brockmann, A. Dacal, J.W. Harris, M.     Maier, M.E. Ortiz, H.G. Pugh, W. Rauch, R.E. Renfordt, F. Riess, L.S. Schoeder, R. Stock, H. Stroebele and K. L. Wolf",Nuclear Physics A,Estados Unidos de América,1983,1983,1983,
10612,12C-12C total and reaction cross sections between 6 and 85 MeV/A from an optical-model analysis,Brandan M.E.,Journal of Physics G-Nuclear and Particle Physics,Estados Unidos de América,1983,1983,1983,NA
10621,Thin  Plastic  Radiochromic  Dye  Films  as Ionizing Radiation Dosimeter,"BUENFILBURGOS AE, URIBE RM, DELAPIEDAD A, MCLAUGHLIN WL, MILLER A",Radiation Physics and Chemistry,Estados Unidos de América,1983,1983,1983,"ISI:A1983RJ07300006, 10, , "
10614,Evidence on the Equation of State of Nuclear Matter at High Densities,"J.W. Harris, D. Bangert, R. Bock, R. Brockmann, A. Dacal,  M.     Maier, G. Odyniec, M.E. Ortiz, H.G. Pugh, W. Rauch, R.E. Renfordt,  A.Sandoval, L.S. Schroeder, R. Stock, H. Stroebele and K.L. Wolf",Proc. of the 6th High Energy Heavy Ion  Study  and  2nd  Workshop on Anomalons LBL 16281. UC-34. Conf. 830675,Estados Unidos de América,1983,1983,1983,NA
10622,"Use of Deuterium and Oxygen-18 in Hydrological Problems at Delicias Valley, Chihuahua Mexico","R.C. Castillo, P. Morales and A. Cortés",Revista Mexicana de Física,México,1983,1983,1983,NA
10617,Single-ion and pair-interaction potentials near simple metal surfaces,"R.N. Barnett, R.G. Barrera, C.L. Cleveland y U. Landman",Physical Review B,Estados Unidos de América,1983,1983,1983,NA
10613,Compression Effects in Relativistic Nucleus - Nucleus Collisions,"R. Stock, R. Bock, R. Brockmann, A. Dacal, J. W. Harris, M. Maier, M.E. Ortiz,  H.G.  Pugh,  R.E.  Renfordt,  A.    Sandoval,  L. S. Schroeder, H. Stroebele and K.L. Wolf",Physica Scripta,Estados Unidos de América,1983,1983,1983,
10619,Surface contribution to the optical properties of non-local systems,"W.L. Mochán, R. Fuchs y R.G. Barrera",Physical Review B,Estados Unidos de América,1983,1983,1983,NA
10628,Técnicas para Pulir Aluminio,Barragan-Vidal A,Notas Editadas por el IFUNAM,Estados Unidos de América,1984,1984,1984,NA
10626,Small Angle Scattering of Protons from Rough Al at Grazing Incidence,"BARRAGANVIDAL A, GARCIASANTIBANEZ F",Radiation Effects Letters,Estados Unidos de América,1984,1984,1984,"ISI:A1984SK67200010, 2, , "
10625,Pion Production and the Nuclear Equation of State,"J.W. Harris, G. Odiniec, H. G.  Pugh,  L.S.  Schroeder,  M.L.     Tinckell, R. Bock, R. Brockman,  A. Sandoval,  R. Stock,  H. Stroebele, R.E. Renfordt, D. Schall, D. Bangert, W. Rauch, A. Dacal, C.  Guerra,  M.E. Ortiz and K.L. Wolf",Proc. 7th High Energy Heavy  Ion  Study  Pag.  5  GSI  85-10,Estados Unidos de América,1984,1984,1984,NA
10624,Measurement of the Terminal Velocity in Air of a Ping-Pong Ball using a Time-to-Amplitud Converter in the Millisecond Range,"M.E. Brandan, M. Gutierrez, R. Labbe, and A. Menchaca-Rocha",American Journal of Physics,Estados Unidos de América,1984,1984,1984,NA
10623,A Survey of Groundwater flow Using Deuterium and Oxygen-18 as Tracers in the Samalayuca Dunes Northern Mexico,"R.C. Castillo, A. Cortés, P. Morales, G. Romero and R. Villegas",Revista Mexicana de Física,México,1984,1984,1984,NA
10627,Surface local-field effect,W.L. Mochány R.G. Barrera,Journal de Physique IV,Estados Unidos de América,1984,1984,1984,NA
10630,An improvement to the comparison equation method for solving theSchrödinger equation,"J.Giraldo, R.G.Barrera y G.A.Estevez",Chemical Physics Letters ,Estados Unidos de América,1985,1985,1985,NA
10635,Pion Production in High Energy Heavy Ion Collisions,"K. Wolf,  R.  Bock,  R.  Brockmann,  A  Dacal,  J.W.  Harris, M. Maier, M.E. Ortiz, H.G. Pugh, R.E. Renfordt, A.  Sandoval, L.S. Schroeder, R. Stock, H. Stroebele","Workshop on Nucl. Dynamics III, Copper  Mountain,  Colorado",Estados Unidos de América,1985,1985,1985,NA
10631,El Oxigeno-18 en las Aguas Meteóricas de México,"R. Castillo, P. Morales, S. Ramos, I. Mata y O. Vivaldo",Revista Mexicana de Física,México,1985,1985,1985,NA
10636,Vector spherical harmonics and their application to magnetostatics,"R.G. Barrera, G.A. Estevez y J. Giraldo",European Journal of Physics,Estados Unidos de América,1985,1985,1985,NA
10629,Ab-initio calculation of the phonon dispersion curve for lithium,"VAZQUEZ GJ, MAGANA LF",Journal de Physique IV,Estados Unidos de América,1985,1985,1985,"ISI:A1985AXV0700019, 4, , "
10634,Intrinsic surface-induced optical anisotropies of cubic crystals: local-fieldeffect,W.L. Mochán y R. G. Barrera,Physical Review Letters,Estados Unidos de América,1985,1985,1985,NA
10632,Electromagnetic response of systems with spatial fluctuations. I. Generalformalism,W.L. Mochány R. G. Barrera,Physical Review B,Estados Unidos de América,1985,1985,1985,NA
10633,Electromagnetic response of systems with spatial fluctuations. II.Applications,W.L. Mochány R.G. Barrera,Physical Review B,Estados Unidos de América,1985,1985,1985,NA
10642,Particle accelerators in Mexico,A. Menchaca-Rocha,"Nuclear Instruments & Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Holanda,1986,1986,1986,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-45949128837&partnerID=40, 0"
10639,Liquid Drop Collider to Simulate Nuclear Reactions,"A. Menchaca-Rocha, M.E. Brandan, M. Gutierrez and R. Labbe",The Physics Teacher,Estados Unidos de América,1986,1986,1986,NA
10637,Detection of 8Be Nuclei from the Reaction 16O+27Al at 65 MeV,"M.E. Brandan, A. Menchaca-Rocha, A. Szanto de Toledo, N. Carlin Filho, E.M. Szanto and M.M.  Coimbra.",Journal of Physics G-Nuclear and Particle Physics,Estados Unidos de América,1986,1986,1986,NA
10638,Elastic and inelastic O16+12C scattering at 38 MeV/nucleon,"M.E. Brandan,A. Menchaca-Rocha,  M. Buenerd, J. Chauvin, P. de Saintignon, G. Duhamel, D. Lebrun, P. Martin, G. Perrin and J.Y Hostachy",Physical Review C,Estados Unidos de América,1986,1986,1986,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0000875573&partnerID=40, 13"
